DateTime|Elapsed|Duplicated|Cft|Laccid|Air|MSC_Id|Feed|BytesUp|BytesDown
2016-02-18@23:08:28.|187.0|1|19|171579408,171580688,171579408,171580688,171579408,171580431,171580688,171579408,171723280,171578896,171723280,171578896,171723280|6|CNCRCANZ11G|29|124282|225277
2016-02-18@23:02:50.|769.0|1|22|171580431,171580432,171579151,171579158,171579159|6|CNCRCANZ52G|29|23408|36436
2016-02-18@23:08:52.|13.0|1|16|171580431|6|CNCRCANZ11G|29|244164|19757491
2016-02-18@23:03:10.|589.0|1|22|171579408,171580431,171580688,171580431,171580432|6|CNCRCANZ41G|29|26800|167005
2016-02-18@23:01:34.|44.0|1|22|171580431|6|CNCRCANZ41G|29|0|0
2016-02-18@23:02:15.|214.0|1|0|171579408,171535881,171579408,171580431|6|CNCRCANZ32G|29|122151|2021890
2016-02-18@23:09:11.|382.0|1|22|171580431|6|CNCRCANZ52G|29|0|0
2016-02-18@23:01:55.|64.0|1|0|171580431|6|CNCRCANZ12G|29|2154|13436
2016-02-18@23:02:00.|59.0|1|0|171580431|6|CNCRCANZ12G|29|0|0
2016-02-18@23:03:00.|78.0|1|22|171580431|6|CNCRCANZ32G|29|9783|6386
2016-02-18@23:02:29.|1087.0|1|22|171580688,171579408,171580431,171580432,171579151,171581711,171579408,171581711,171579151|6|CNCRCANZ52G|29|119567|359631
2016-02-18@23:04:42.|214.0|1|0|171580431,171580688|6|CNCRCANZ52G|29|625501|491875
2016-02-18@23:00:10.|789.0|1|19|171578641,171578896,171589647,171589648,171694608,171723279,171723281,171578896,171580431,171579151,171579408,171578896|6|CNCRCANZ32G|29|374649|299839
2016-02-18@23:05:41.|21.0|1|19|171580431,171579151,171578896,171580431|6|HSTNTXGW01-PGW|29|89914|1735489
2016-02-18@23:07:36.|175.0|1|22|171673865,171580431,171580688|6|CNCRCANZ42G|29|38333|44599
2016-02-18@23:05:34.|322.0|1|22|171580431|6|CNCRCANZ42G|29|111390|2348291
